material_id,composition,wyckoff,thermo
ced9dc5840a4ab21ea56db91daa6a9b2,AlP,AB_hP2_187_a_c:Al-P,2
e04f74a928f06ceef149316afeae3720,AlPS3,ABC3_hP10_157_b_2a_2c:Al-P-S,2
b31cea400e58ba7178415d0d315018ae,AlPSe3,ABC3_hP10_157_b_2a_2c:Al-P-Se,2
64815f58f84f5024d2a6654070f02611,AlPd5Br2,AB2C5_tP8_123_c_g_ai:Al-Br-Pd,2
dc19e0e62d18af98099fb3613919b8c2,AlPd5Cl2,AB2C5_tP8_123_c_g_ai:Al-Cl-Pd,2
3c4ea38d47aff75ce137301f93661f7b,AlPd5I2,AB2C5_tP8_123_c_g_ai:Al-I-Pd,2
966b3ad78556ce8751904b3dfc0977a1,AlPt5Br2,AB2C5_oC16_38_a_c_af:Al-Br-Pt,2
ddb15cf9564c205aab9277dd6e41cd6f,AlPt5Cl2,AB2C5_oC16_38_a_c_af:Al-Cl-Pt,2
b9e6498b22c451373af46caec8853d7d,AlPt5I2,AB2C5_tP8_123_c_g_ai:Al-I-Pt,2
2dcac33b3ea4c8c03ea2caf325f7b3b4,AlS,AB_hP4_164_c_d:Al-S,2
2df08e9bd51c40d40e163f509511fdb9,AlS,AB_hP4_187_g_h:Al-S,2
de368e3eed2b4696d93b7d5eecd35e99,AlS,AB_tP2_123_a_c:Al-S,2
171904c15943619517247d554ceaabe1,AlS2,AB2_mC6_12_a_i:Al-S,2
e7e60366a22f2f5e4752ed85af36dff5,AlSBr,ABC_oP6_59_b_a_a:Al-Br-S,2
33e5a3bdc8f082147635ca09aae0f467,AlSCl,ABC_oP6_59_b_a_a:Al-Cl-S,2
290ed94a014ef761e9637f6fb3a6bf82,AlSI,ABC_oP6_59_b_a_a:Al-I-S,2
653199644fbdd4ada623228a6129a995,AlSb,AB_hP2_156_a_b:Al-Sb,0
4867272c2a67636f848ad73c29b53f57,AlSe,AB_tP2_123_a_c:Al-Se,2
d1462a7efa6fc929effac384718e664a,AlSe,AB_hP4_164_c_d:Al-Se,2
7287ea8e46353dbd890814bafbf48e1e,AlSe,AB_hP4_187_g_h:Al-Se,2
b88d45413113b89db8a3234993d6571c,AlSe2,AB2_mC6_12_a_i:Al-Se,2
8520efeb7ebecb197f19ba707a123602,AlSeBr,ABC_oP6_59_b_a_a:Al-Br-Se,2
7aa592d0f1c51eaec4cb2b2fdb49f8e9,AlSeCl,ABC_oP6_59_b_a_a:Al-Cl-Se,2
6fcce6644933e3ddac399c8925751068,AlSeI,ABC_oP6_59_b_a_a:Al-I-Se,2
eb96811cfcd525b293a4702a4c971c38,AlSiTe3,ABC3_hP10_162_c_e_k:Al-Si-Te,2
221f019b5c69d1dc5e7ba5a6be7fccf9,AlTe,AB_tP2_123_a_c:Al-Te,2
70a898b5adeb61553187df84b569adab,AlTe,AB_hP4_187_g_h:Al-Te,2
5b0c1daca90920f4cf364c707f8fbb66,AlTe,AB_hP4_164_c_d:Al-Te,2
e64a51239c7692c30929c75963514b60,AlTe2,AB2_hP3_164_a_d:Al-Te,2
f9f64d1722ff7febf35efe91eec582a2,AlTe3P,ABC3_hP10_162_c_e_k:Al-P-Te,2
69a3738dc575ab3f1c120542028aba75,AlTe4,AB4_mC10_8_a_4a:Al-Te,2
ee61a57f086be0f33b6748f8b7adb876,AlTlF4,AB4C_mP12_10_n_2m2n_ad:Al-F-Tl,2
1e7a5496302e94cfc6e927d09f2338a3,AlTlF4,AB4C_aP12_1_2a_8a_2a:Al-F-Tl,2
bea0f7ee5d354327628ea998f4dc47b2,As,A_oP4_53_h:As,2
3c8fcc303f2004d33faa0ef0fd4031c6,As,A_hP2_164_d:As,2
1c0eca1e950cd12adc1ca1c607c2347e,As2O3,A2B3_mP10_4_2a_3a:As-O,2
3d102ea560bc5994170fb2886dff66cc,As2O3,A2B3_tP10_81_h_gh:As-O,2
da598a2b183eee893285473e3781a86b,As2O3,A2B3_mP10_7_2a_3a:As-O,2
c98bc77ad58cd9f85df95c3c482c3f17,As2PHO6,A2BC6D_mP20_4_2a_a_6a_a:As-H-O-P,2
356473c5ab0eade3c986cf5aa64e4e90,As2S3,A2B3_mP10_7_2a_3a:As-S,2
de1a187dd1cce654a040597fc4317cda,As2S3,A2B3_oP10_31_b_ab:As-S,2
d7131054ab7638f87940158c170eb25b,As2SO6,A2B6C_oP18_18_c_3c_a:As-O-S,2
a8a39802861fad2d8bc205dbab5c0a74,As2Se3,A2B3_oP10_31_b_ab:As-Se,2
5e18662ccd08bfc0b64f292123f6af58,As2W,A2B_hP3_187_h_a:As-W,2
4ce8e24f95fd35bfc6336e8c12b0c33a,As2W,A2B_hP3_164_d_a:As-W,2
2379d125865dddc985aa219618291b48,AsBr2,AB2_hP3_164_a_d:As-Br,2
a15aff9ea9cef88dda75f3a234197d36,AsBr2,AB2_hP3_187_a_h:As-Br,2
9472b5eb185fb0c372a1ab7a94051394,AsBr3,AB3_hP8_162_c_k:As-Br,2
53e7c15537a62dbe8befe7afc44f70a6,AsC,AB_oC4_38_a_a:As-C,0
c5aae5fbbc5ac3a703ad3f09accd4eba,AsC3,AB3_hP8_191_c_l:As-C,0
b2ed9008931493bfa480c13777c907cd,AsCl2,AB2_hP3_164_a_d:As-Cl,2
48e9f4fe66bcb608c3c7d40f276abeed,AsCl2,AB2_hP3_187_a_h:As-Cl,2
4ca245f638a27767d0aca84a07fcf0cd,AsI2,AB2_hP3_164_a_d:As-I,2
a61766fd4fda251ee73caf7fc3503393,AsI2,AB2_hP3_187_a_h:As-I,0
bf1aa80783f9e2601ff971eec4fe686e,AsI3,AB3_hP8_162_c_k:As-I,2
ad2c411683f14b2c16a2b0c8216d6b70,AsO2,AB2_oP12_31_2a_2ab:As-O,2
e97d0ca2c2c6a2342a21ea25b3439166,AsPO4,AB4C_oP12_31_a_2ab_a:As-O-P,2
9ef2a8c31f066821e312f75889624ecf,AsPb3,AB3_hP8_191_c_l:As-Pb,0
